entry,at,order
"The player ""brian @ UAANB4j7WT"" quits the game with a stack of 95.91.",2024-03-07T08:57:01.248Z,170980182124800
"The player ""brian @ UAANB4j7WT"" stand up with the stack of 95.91.",2024-03-07T08:57:00.254Z,170980182025400
"-- ending hand #236 --",2024-03-07T08:56:54.239Z,170980181423902
"""brian @ UAANB4j7WT"" collected 0.40 from pot with Two Pair, 10's & 9's (combination: 10♣, 10♥, 9♣, 9♦, A♠)",2024-03-07T08:56:54.239Z,170980181423901
"""brian @ UAANB4j7WT"" shows a 9♣, 9♦.",2024-03-07T08:56:54.239Z,170980181423900
"""jd @ iAU2EksAh2"" checks",2024-03-07T08:56:53.388Z,170980181338800
"""brian @ UAANB4j7WT"" checks",2024-03-07T08:56:50.367Z,170980181036700
"River: A♠, 8♦, K♥, 10♣ [10♥]",2024-03-07T08:56:49.163Z,170980180916300
"""jd @ iAU2EksAh2"" checks",2024-03-07T08:56:48.311Z,170980180831100
"""brian @ UAANB4j7WT"" checks",2024-03-07T08:56:47.366Z,170980180736600
"Turn: A♠, 8♦, K♥ [10♣]",2024-03-07T08:56:37.820Z,170980179782000
"""jd @ iAU2EksAh2"" checks",2024-03-07T08:56:36.966Z,170980179696600
"""brian @ UAANB4j7WT"" checks",2024-03-07T08:56:35.099Z,170980179509900
"Flop:  [A♠, 8♦, K♥]",2024-03-07T08:56:33.145Z,170980179314500
"""jd @ iAU2EksAh2"" calls 0.20",2024-03-07T08:56:32.329Z,170980179232900
"""brian @ UAANB4j7WT"" raises to 0.20",2024-03-07T08:56:30.158Z,170980179015800
"The admin ""yj @ UXaWQPJt1x"" enqueued the game stop on next hand.",2024-03-07T08:56:26.248Z,170980178624800
"""yj @ UXaWQPJt1x"" folds",2024-03-07T08:56:23.625Z,170980178362500
"""jd @ iAU2EksAh2"" posts a big blind of 0.10",2024-03-07T08:56:22.588Z,170980178258806
"""brian @ UAANB4j7WT"" posts a small blind of 0.05",2024-03-07T08:56:22.588Z,170980178258805
"Player stacks: #1 ""jd @ iAU2EksAh2"" (40.36) | #3 ""yj @ UXaWQPJt1x"" (43.99) | #4 ""brian @ UAANB4j7WT"" (95.71)",2024-03-07T08:56:22.588Z,170980178258801
