entry,at,order
"The player ""Jonathan @ ArgKs65s5n"" quits the game with a stack of 36.27.",2024-03-09T10:05:58.457Z,170997875845700
"""Jonathan @ ArgKs65s5n"" shows a 7♠, 7♥.",2024-03-09T10:05:55.045Z,170997875504500
"""az @ _c6_FOIS6W"" shows a 4♠, 8♥.",2024-03-09T10:05:54.767Z,170997875476700
"""yyj @ UXaWQPJt1x"" shows a 10♠, A♥.",2024-03-09T10:05:54.753Z,170997875475300
"-- ending hand #315 --",2024-03-09T10:05:53.449Z,170997875344902
"""az @ _c6_FOIS6W"" collected 4.43 from pot",2024-03-09T10:05:53.449Z,170997875344901
"Uncalled bet of 3.32 returned to ""az @ _c6_FOIS6W""",2024-03-09T10:05:53.449Z,170997875344900
"""Jonathan @ ArgKs65s5n"" folds",2024-03-09T10:05:52.599Z,170997875259900
"""yyj @ UXaWQPJt1x"" folds",2024-03-09T10:05:48.826Z,170997874882600
"""werdnac @ dX98qrjeGt"" folds",2024-03-09T10:05:46.941Z,170997874694100
"""az @ _c6_FOIS6W"" bets 3.32",2024-03-09T10:05:45.035Z,170997874503500
"""Jonathan @ ArgKs65s5n"" checks",2024-03-09T10:05:29.404Z,170997872940400
"""yyj @ UXaWQPJt1x"" checks",2024-03-09T10:05:28.378Z,170997872837800
"""werdnac @ dX98qrjeGt"" checks",2024-03-09T10:05:26.664Z,170997872666400
"Turn: 10♣, K♣, 8♠ [5♣]",2024-03-09T10:05:21.328Z,170997872132800
"""yyj @ UXaWQPJt1x"" calls 0.67",2024-03-09T10:05:20.515Z,170997872051500
"""werdnac @ dX98qrjeGt"" calls 0.67",2024-03-09T10:05:12.805Z,170997871280500
"""charbrikt @ KbH85AblgS"" folds",2024-03-09T10:05:00.988Z,170997870098800
"""az @ _c6_FOIS6W"" calls 0.67",2024-03-09T10:04:58.547Z,170997869854700
"""Jonathan @ ArgKs65s5n"" bets 0.67",2024-03-09T10:04:57.658Z,170997869765800
"""yyj @ UXaWQPJt1x"" checks",2024-03-09T10:04:53.784Z,170997869378400
"""werdnac @ dX98qrjeGt"" checks",2024-03-09T10:04:52.872Z,170997869287200
"Flop:  [10♣, K♣, 8♠]",2024-03-09T10:04:48.557Z,170997868855700
"""yyj @ UXaWQPJt1x"" calls 0.35",2024-03-09T10:04:47.733Z,170997868773300
"The admin ""yyj @ UXaWQPJt1x"" enqueued the game stop on next hand.",2024-03-09T10:04:47.010Z,170997868701000
"""werdnac @ dX98qrjeGt"" calls 0.35",2024-03-09T10:04:44.308Z,170997868430800
"""charbrikt @ KbH85AblgS"" calls 0.35",2024-03-09T10:04:41.854Z,170997868185400
"""az @ _c6_FOIS6W"" calls 0.35",2024-03-09T10:04:40.890Z,170997868089000
"""Jonathan @ ArgKs65s5n"" raises to 0.35",2024-03-09T10:04:37.418Z,170997867741800
"""yyj @ UXaWQPJt1x"" posts a big blind of 0.10",2024-03-09T10:04:34.044Z,170997867404408
"""werdnac @ dX98qrjeGt"" posts a small blind of 0.05",2024-03-09T10:04:34.044Z,170997867404407
"Your hand is 7♠, 7♥",2024-03-09T10:04:34.044Z,170997867404404
"Player stacks: #2 ""werdnac @ dX98qrjeGt"" (20.74) | #6 ""yyj @ UXaWQPJt1x"" (79.94) | #7 ""Jonathan @ ArgKs65s5n"" (37.29) | #8 ""az @ _c6_FOIS6W"" (31.29) | #10 ""charbrikt @ KbH85AblgS"" (76.83)",2024-03-09T10:04:34.044Z,170997867404401
"-- starting hand #315 (id: s0okuqssqoy4)  (No Limit Texas Hold'em) (dealer: ""charbrikt @ KbH85AblgS"") --",2024-03-09T10:04:34.044Z,170997867404400
"-- ending hand #314 --",2024-03-09T10:04:31.019Z,170997867101903
"""charbrikt @ KbH85AblgS"" shows a K♥, 5♦.",2024-03-09T10:04:31.019Z,170997867101902
"""werdnac @ dX98qrjeGt"" collected 0.60 from pot with Two Pair, 9's & 6's (combination: 9♥, 9♦, 6♦, 6♥, Q♣)",2024-03-09T10:04:31.019Z,170997867101901
"""werdnac @ dX98qrjeGt"" shows a Q♣, 9♥.",2024-03-09T10:04:31.019Z,170997867101900
"""yyj @ UXaWQPJt1x"" checks",2024-03-09T10:04:30.196Z,170997867019600
"""werdnac @ dX98qrjeGt"" checks",2024-03-09T10:04:27.630Z,170997866763000
"""charbrikt @ KbH85AblgS"" checks",2024-03-09T10:04:25.137Z,170997866513700
"River: 8♣, 9♦, 6♦, 4♦ [6♥]",2024-03-09T10:04:21.727Z,170997866172700
"""yyj @ UXaWQPJt1x"" checks",2024-03-09T10:04:20.909Z,170997866090900
"""werdnac @ dX98qrjeGt"" checks",2024-03-09T10:04:18.112Z,170997865811200
"""charbrikt @ KbH85AblgS"" checks",2024-03-09T10:04:09.062Z,170997864906200
"Turn: 8♣, 9♦, 6♦ [4♦]",2024-03-09T10:04:03.779Z,170997864377900
"""yyj @ UXaWQPJt1x"" checks",2024-03-09T10:04:02.918Z,170997864291800
"""werdnac @ dX98qrjeGt"" checks",2024-03-09T10:04:00.968Z,170997864096800
"""charbrikt @ KbH85AblgS"" checks",2024-03-09T10:03:57.891Z,170997863789100
"Flop:  [8♣, 9♦, 6♦]",2024-03-09T10:03:55.442Z,170997863544200
"""werdnac @ dX98qrjeGt"" calls 0.20",2024-03-09T10:03:54.596Z,170997863459600
"""charbrikt @ KbH85AblgS"" calls 0.20",2024-03-09T10:03:53.053Z,170997863305300
"""az @ _c6_FOIS6W"" folds",2024-03-09T10:03:51.764Z,170997863176400
"""Jonathan @ ArgKs65s5n"" folds",2024-03-09T10:03:50.883Z,170997863088300
"""yyj @ UXaWQPJt1x"" raises to 0.20",2024-03-09T10:03:50.016Z,170997863001600
"""werdnac @ dX98qrjeGt"" posts a big blind of 0.10",2024-03-09T10:03:47.578Z,170997862757808
"""charbrikt @ KbH85AblgS"" posts a small blind of 0.05",2024-03-09T10:03:47.578Z,170997862757807
"Your hand is 8♥, J♦",2024-03-09T10:03:47.578Z,170997862757804
"Player stacks: #2 ""werdnac @ dX98qrjeGt"" (20.34) | #6 ""yyj @ UXaWQPJt1x"" (80.14) | #7 ""Jonathan @ ArgKs65s5n"" (37.29) | #8 ""az @ _c6_FOIS6W"" (31.29) | #10 ""charbrikt @ KbH85AblgS"" (77.03)",2024-03-09T10:03:47.578Z,170997862757801
"-- starting hand #314 (id: do85jbjau9un)  (No Limit Texas Hold'em) (dealer: ""az @ _c6_FOIS6W"") --",2024-03-09T10:03:47.578Z,170997862757800
"-- ending hand #313 --",2024-03-09T10:03:44.565Z,170997862456503
"""az @ _c6_FOIS6W"" shows a K♥, Q♦.",2024-03-09T10:03:44.565Z,170997862456502
"""charbrikt @ KbH85AblgS"" collected 1.40 from pot with Pair, 5's (combination: 5♦, 5♣, A♥, J♣, 10♣)",2024-03-09T10:03:44.565Z,170997862456501
"""charbrikt @ KbH85AblgS"" shows a 5♦, 10♣.",2024-03-09T10:03:44.565Z,170997862456500
"""charbrikt @ KbH85AblgS"" checks",2024-03-09T10:03:43.715Z,170997862371500
"""az @ _c6_FOIS6W"" checks",2024-03-09T10:03:42.264Z,170997862226400
"River: J♣, 5♣, A♥, 3♠ [7♥]",2024-03-09T10:03:21.135Z,170997860113500
"""charbrikt @ KbH85AblgS"" calls 0.40",2024-03-09T10:03:20.318Z,170997860031800
"""az @ _c6_FOIS6W"" bets 0.40",2024-03-09T10:03:19.120Z,170997859912000
"Turn: J♣, 5♣, A♥ [3♠]",2024-03-09T10:03:02.867Z,170997858286700
"""charbrikt @ KbH85AblgS"" checks",2024-03-09T10:03:01.990Z,170997858199000
"""az @ _c6_FOIS6W"" checks",2024-03-09T10:03:00.927Z,170997858092700
"Flop:  [J♣, 5♣, A♥]",2024-03-09T10:02:58.979Z,170997857897900
"""charbrikt @ KbH85AblgS"" calls 0.30",2024-03-09T10:02:58.128Z,170997857812800
"""az @ _c6_FOIS6W"" raises to 0.30",2024-03-09T10:02:56.536Z,170997857653600
"""Jonathan @ ArgKs65s5n"" folds",2024-03-09T10:02:54.474Z,170997857447400
"""yyj @ UXaWQPJt1x"" folds",2024-03-09T10:02:50.893Z,170997857089300
"""werdnac @ dX98qrjeGt"" folds",2024-03-09T10:02:43.312Z,170997856331200
"""charbrikt @ KbH85AblgS"" posts a big blind of 0.10",2024-03-09T10:02:39.880Z,170997855988008
"""az @ _c6_FOIS6W"" posts a small blind of 0.05",2024-03-09T10:02:39.880Z,170997855988007
"Your hand is K♦, 9♣",2024-03-09T10:02:39.880Z,170997855988004
"Player stacks: #2 ""werdnac @ dX98qrjeGt"" (20.34) | #6 ""yyj @ UXaWQPJt1x"" (80.14) | #7 ""Jonathan @ ArgKs65s5n"" (37.29) | #8 ""az @ _c6_FOIS6W"" (31.99) | #10 ""charbrikt @ KbH85AblgS"" (76.33)",2024-03-09T10:02:39.880Z,170997855988001
"-- starting hand #313 (id: ra5owu7qmrt4)  (No Limit Texas Hold'em) (dealer: ""Jonathan @ ArgKs65s5n"") --",2024-03-09T10:02:39.880Z,170997855988000
"-- ending hand #312 --",2024-03-09T10:02:36.836Z,170997855683603
"""az @ _c6_FOIS6W"" shows a J♥, K♥.",2024-03-09T10:02:36.836Z,170997855683602
